,Review,ratings
0,"Difficult to navigate but somewhat useful app. With rapid changes to the app's UI it becomes really difficult to navigate through the various features. I don't see my appointments under the 'Appointments' menu, but rather they show up under 'Consultation' from where I cannot reschedule. It has also become confusing to search for a doctor. Update: video calling no longer works. Doctor tried calling but I did not get any notification even when app was open. Same problem with my friends.",Rated 1 stars out of five stars
1,"I find the medical records section frustrating. 1. I am unable to pick a file from my cloud storage directly. Had to download file locally to the phone and then attach. I wish the jumber of steps can be simplified like other comparitive apps. 2. The name of the file does not appear; so no way to quickly understand the purpose of the file. I wish a LIST view of files to make it easy. 3. I am unable to preview the Files directly. Have to download, search for the download folder and open.",Rated 2 stars out of five stars
2,"Really buggy software. And has this even been tested by devs? So after payment I don't get video consult on the expected page (the confirmation I got is via text message ) . There's a server error. Changing state when you are booking an appointment have server issues. These arnt minor bugs, these will cost you loss of patients and money.",Rated 1 stars out of five stars
3,"The app keeps getting unresponsive. During consultation, could not send even a single image to the dr. The call gets dropped despite good internet connectivity. I have had this experience recently and also 8 months back. So no improvement is made with app. Atleast allow web version of the service.",Rated 1 stars out of five stars
4,"Everything is good but connecting to a different doctor everytime and explaining the problems again is a pain. All documents have to be uploaded and it's very annoying. They can create a ticketing system where a new doctor connnected can have a ""lookup"" from the previous chat?",Rated 3 stars out of five stars
5,"The app is difficult to navigate, extremely frustrating especially when you're sick and seeking support. The payment method process is so annoying and not at all trustworthy, seems like I've wasted money here. I booked an appointment and cannot even access that because the app kept crashing and the call for disconnected automatically in seconds.",Rated 1 stars out of five stars
6,"I have used Practo multiple times out of desperation for my elderly parents and almost every time there was a problem with video call feature and the conversation had to be done through chat/audio call, which greatly compromised the quality of the interaction. Deeply disappointed. Searching for better options.",Rated 1 stars out of five stars
7,"Appointment confirmation page doesn't load post booking. Appointment page doesnt load even if I click the link in text message and want to edit my appointment. Feedback page doesn't load on clicking, post the appointment either. Simply saying - app doesn't load at all and is extremely difficult to navigate now, for the last few.months.",Rated 1 stars out of five stars
8,The Good - Reaching the doctor for simpler consultation like vitamin deficiency issues was easy. Reaching support worked fine as we The Bad - Very bad app. Chat is difficult to use. Video does not work. App asks me to remove battery optimization for the app which is so hard to find in the middle of a consultation. File sharing in chats is poor. File gets shared as soon as selected without even clicking on the send button. The app needs serious upgrades to make the experience proper.,Rated 3 stars out of five stars
9,The app is vety useful to find good doctors nearby. But appointment/clinic timings are almost always incorrect. Doctors have now told me not to book through the app because changes are not updated and appointments scheduled without actually checking with the doctor/clinic. Quite frustrating!,Rated 2 stars out of five stars
